sample_idx,true_class,predicted_class,raw_bad_probability,predicted_bad_probability,predicted_good_probability,predicted_confidence,true_class_confidence,predicted_threshold_relative_confidence,true_class_threshold_relative_confidence,true_label,predicted_label,is_correct,raw_good_probability,original_threshold,pred_confidence_z_score,confidence_category,saved_true_class,decision_boundary,raw_bad_probability_sigma,decision_boundary_lower_bound,decision_boundary_upper_bound,decision_boundary_distance,decision_boundary_abs_distance,decision_boundary_sigma_group
9,0,0,0.3593290595127359,,0.6406709404872641,0.6406709404872641,0.6406709404872641,0.3583409651558288,0.3583409651558288,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.6406709404872641,0.56,-0.1892652155418327,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.20067094048726414,0.20067094048726414,outside_1sigma
10,0,0,0.193673964497224,,0.8063260355027759,0.8063260355027759,0.8063260355027759,0.6541536348263857,0.6541536348263857,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.8063260355027759,0.56,1.195431524491015,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.3663260355027761,0.3663260355027761,outside_1sigma
12,0,0,0.0447039396855948,,0.9552960603144052,0.9552960603144052,0.9552960603144052,0.9201715362757236,0.9201715362757236,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.9552960603144052,0.56,2.4406591928579897,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.5152960603144052,0.5152960603144052,outside_1sigma
15,0,0,0.1550611595088857,,0.8449388404911142,0.8449388404911142,0.8449388404911142,0.7231050723055612,0.7231050723055612,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.8449388404911142,0.56,1.5181926516743929,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.4049388404911144,0.4049388404911144,outside_1sigma
17,0,0,0.1861696022623401,,0.8138303977376599,0.8138303977376599,0.8138303977376599,0.6675542816743927,0.6675542816743927,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.8138303977376599,0.56,1.2581598451725875,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.3738303977376599,0.3738303977376599,outside_1sigma
18,0,0,0.1476487861540849,,0.8523512138459151,0.8523512138459151,0.8523512138459151,0.7363414532962769,0.7363414532962769,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.8523512138459151,0.56,1.5801520451922193,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.41235121384591517,0.41235121384591517,outside_1sigma
19,0,0,0.2082646089836396,,0.7917353910163604,0.7917353910163604,0.7917353910163604,0.628098912529215,0.628098912529215,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.7917353910163604,0.56,1.0734695778727958,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.3517353910163604,0.3517353910163604,outside_1sigma
20,0,0,0.2791722729030136,,0.7208277270969864,0.7208277270969864,0.7208277270969864,0.5014780841017614,0.5014780841017614,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.7208277270969864,0.56,0.480758493053413,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.28082772709698645,0.28082772709698645,outside_1sigma
21,0,0,0.2645018414114057,,0.7354981585885942,0.7354981585885942,0.7354981585885942,0.5276752831939184,0.5276752831939184,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.7354981585885942,0.56,0.603387372409055,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.29549815858859435,0.29549815858859435,outside_1sigma
26,0,0,0.0961367891858048,,0.9038632108141952,0.9038632108141952,0.9038632108141952,0.8283271621682057,0.8283271621682057,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.9038632108141952,0.56,2.010736412475823,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.46386321081419524,0.46386321081419524,outside_1sigma
27,0,0,0.3731575402589793,,0.6268424597410207,0.6268424597410207,0.6268424597410207,0.333647249537537,0.333647249537537,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.6268424597410207,0.56,-0.3048563007851647,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.18684245974102076,0.18684245974102076,outside_1sigma
28,0,0,0.3123765106720096,,0.6876234893279903,0.6876234893279903,0.6876234893279903,0.4421848023714114,0.4421848023714114,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.6876234893279903,0.56,0.2032071156587178,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.24762348932799044,0.24762348932799044,outside_1sigma
29,0,0,0.2217854231877095,,0.7782145768122904,0.7782145768122904,0.7782145768122904,0.6039546014505187,0.6039546014505187,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.7782145768122904,0.56,0.9604502508837146,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.33821457681229056,0.33821457681229056,outside_1sigma
30,0,0,0.1741475088325737,,0.8258524911674263,0.8258524911674263,0.8258524911674263,0.6890223056561183,0.6890223056561183,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.8258524911674263,0.56,1.358651493672799,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.38585249116742637,0.38585249116742637,outside_1sigma
31,0,0,0.2864001837517531,,0.7135998162482469,0.7135998162482469,0.7135998162482469,0.4885711004432981,0.4885711004432981,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.7135998162482469,0.56,0.4203410058124652,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.273599816248247,0.273599816248247,outside_1sigma
34,0,0,0.2958980664359807,,0.7041019335640193,0.7041019335640193,0.7041019335640193,0.4716105956500345,0.4716105956500345,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.7041019335640193,0.56,0.3409490185703412,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.26410193356401934,0.26410193356401934,outside_1sigma
37,1,1,0.7893981923283111,0.7893981923283111,,0.7893981923283111,0.7893981923283111,0.5213595280188889,0.5213595280188889,BAD CREDIT RISK,BAD CREDIT RISK,True,0.2106018076716889,0.56,1.0539331343734406,high_confidence,1,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,0.22939819232831105,0.22939819232831105,outside_1sigma
38,0,0,0.3503073076022994,,0.6496926923977006,0.6496926923977006,0.6496926923977006,0.3744512364244653,0.3744512364244653,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.6496926923977006,0.56,-0.1138531646260631,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.20969269239770066,0.20969269239770066,outside_1sigma
43,0,0,0.3569752761933936,,0.6430247238066065,0.6430247238066065,0.6430247238066065,0.3625441496546543,0.3625441496546543,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.6430247238066065,0.56,-0.169590142531058,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.20302472380660647,0.20302472380660647,outside_1sigma
44,0,0,0.32142180579198,,0.67857819420802,0.67857819420802,0.67857819420802,0.4260324896571785,0.4260324896571785,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.67857819420802,0.56,0.1275982690724713,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.23857819420802007,0.23857819420802007,outside_1sigma
45,0,0,0.1066228003391781,,0.8933771996608219,0.8933771996608219,0.8933771996608219,0.8096021422514676,0.8096021422514676,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.8933771996608219,0.56,1.9230847440579908,high_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.45337719966082196,0.45337719966082196,outside_1sigma
