sample_idx,true_class,predicted_class,raw_bad_probability,predicted_bad_probability,predicted_good_probability,predicted_confidence,true_class_confidence,predicted_threshold_relative_confidence,true_class_threshold_relative_confidence,true_label,predicted_label,is_correct,raw_good_probability,original_threshold,pred_confidence_z_score,confidence_category,saved_true_class,decision_boundary,raw_bad_probability_sigma,decision_boundary_lower_bound,decision_boundary_upper_bound,decision_boundary_distance,decision_boundary_abs_distance,decision_boundary_sigma_group
0,0,0,0.3839649321052645,,0.6160350678947355,0.6160350678947355,0.6160350678947355,0.3143483355263134,0.3143483355263134,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.6160350678947355,0.56,-0.395194362867755,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.17603506789473555,0.17603506789473555,within_1sigma
1,0,0,0.4102478030857421,,0.5897521969142578,0.5897521969142578,0.5897521969142578,0.2674146373468891,0.2674146373468891,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.5897521969142578,0.56,-0.6148906285453273,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.14975219691425795,0.14975219691425795,within_1sigma
2,1,1,0.7225380431945686,0.7225380431945686,,0.7225380431945686,0.7225380431945686,0.3694046436240195,0.3694046436240195,BAD CREDIT RISK,BAD CREDIT RISK,True,0.2774619568054314,0.56,0.4950548787125804,high_confidence,1,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,0.16253804319456855,0.16253804319456855,within_1sigma
5,0,0,0.5286727153681823,,0.4713272846318177,0.4713272846318177,0.4713272846318177,0.0559415796996745,0.0559415796996745,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.4713272846318177,0.56,-1.6047943194690235,low_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.031327284631817776,0.031327284631817776,within_1sigma
6,0,0,0.5025951689864203,,0.4974048310135797,0.4974048310135797,0.4974048310135797,0.1025086268099638,0.1025086268099638,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.4974048310135797,0.56,-1.3868143445126246,low_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.05740483101357974,0.05740483101357974,within_1sigma
7,0,0,0.45474040059123,,0.5452595994087699,0.5452595994087699,0.5452595994087699,0.1879635703728035,0.1879635703728035,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.5452595994087699,0.56,-0.986800437390469,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.10525959940877005,0.10525959940877005,within_1sigma
14,1,1,0.5887777677020655,0.5887777677020655,,0.5887777677020655,0.5887777677020655,0.0654040175046941,0.0654040175046941,BAD CREDIT RISK,BAD CREDIT RISK,True,0.4112222322979345,0.56,-0.6230357988064001,middle_confidence,1,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,0.028777767702065415,0.028777767702065415,within_1sigma
16,0,0,0.5016152839372581,,0.4983847160627419,0.4983847160627419,0.4983847160627419,0.1042584215406106,0.1042584215406106,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.4983847160627419,0.56,-1.3786235693779705,low_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.05838471606274198,0.05838471606274198,within_1sigma
23,1,1,0.7111562263338734,0.7111562263338734,,0.7111562263338734,0.7111562263338734,0.3435368780315304,0.3435368780315304,BAD CREDIT RISK,BAD CREDIT RISK,True,0.2888437736661265,0.56,0.3999152471716386,high_confidence,1,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,0.15115622633387338,0.15115622633387338,within_1sigma
24,0,0,0.4390714789599664,,0.5609285210400335,0.5609285210400335,0.5609285210400335,0.2159437875714885,0.2159437875714885,GOOD CREDIT RISK,GOOD CREDIT RISK,True,0.5609285210400335,0.56,-0.8558252645434805,middle_confidence,0,0.56,0.1867002307220001,0.37329976927799996,0.7467002307220001,-0.12092852104003365,0.12092852104003365,within_1sigma
